Name,Price in GBR,Ingredients,Product_Link,Category
Crushed Macadamia & Rice Milk Body Scrub,1.42,Aqua,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Glycerin,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Hydrated Silica,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Sodium Lauroyl Isethionate,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Stearic Acid,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Cocamidopropyl Betaine,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Sodium Stearate,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Parfum,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Sodium Palmitate,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Lauric Acid,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Sodium Isethionate,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Cetearyl Alcohol,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Jojoba Esters,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Sodium Chloride,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Phenoxyethanol,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Hydroxyacetophenone,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Sodium Palm Kernelate,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Tetrasodium EDTA,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Sodium Benzoate,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Zinc Oxide,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Macadamia Ternifolia Seed Oil,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Oryza Sativa Bran Extract,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Oryza Sativa Germ Oil,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Benzyl Salicylate,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Coumarin,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Crushed Macadamia & Rice Milk Body Scrub,1.42,Linalool,https://www.dove.com/uk/p/crushed-macadamia-rice-milk-body-scrub.html/08710447217054,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,‎Aqua,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Glycerin,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Hydrated Silica,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Sodium Lauroyl Isethionate,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
Pomegranate Seeds & Shea Butter Body Scrub,6.99,Stearic Acid,https://www.dove.com/uk/p/pomegranate-seeds-shea-butter-body-scrub.html/08710447257265,Washing and bathing
