name,price,link
Shea Moisture Manuka Honey & Mafura Oil Intensive Hydration Hair Masque 354ml,£12.99,https://www.lookfantastic.com/shea-moisture-manuka-honey-mafura-oil-intensive-hydration-hair-masque-354ml/11899218.html
Redken One United Multi-Benefit Treatment (150ml),£20.06,https://www.lookfantastic.com/redken-one-united-multi-benefit-treatment-150ml/11134151.html
Olaplex No.9 Bond Protector Nourishing Hair Serum 90ml,£22.40,https://www.lookfantastic.com/olaplex-no.9-bond-protector-nourishing-hair-serum-90ml/13660220.html
Shea Moisture Jamaican Black Castor Oil Strengthen & Restore Shampoo 473ml,£9.35,https://www.lookfantastic.com/shea-moisture-jamaican-black-castor-oil-strengthen-restore-shampoo-473ml/11309674.html
Kerastase Genesis Duo for Normal to Oily Hair,£43.86,https://www.lookfantastic.com/kerastase-genesis-duo-for-normal-to-oily-hair/12434802.html
Color Wow Dream Cocktail - Carb Infused 200ml,£25.00,https://www.lookfantastic.com/color-wow-dream-cocktail-carb-infused-200ml/11310105.html
Shea Moisture Manuka Honey & Mafura Oil Intensive Hydration Shampoo 384ml,£8.50,https://www.lookfantastic.com/shea-moisture-manuka-honey-mafura-oil-intensive-hydration-shampoo-384ml/11899216.html
Color Wow Dream Filter Treatment 200ml,£26.00,https://www.lookfantastic.com/color-wow-dream-filter-treatment-200ml/12137728.html
Moroccanoil Treatment Original 25ml,£14.45,https://www.lookfantastic.com/moroccanoil-treatment-original-25ml/10448780.html
The Ordinary Multi-Peptide Serum for Hair Density 60ml,£20.80,https://www.lookfantastic.com/the-ordinary-multi-peptide-serum-for-hair-density-60ml/11841280.html
Kérastase Densifique Bain Densite 250ml,£22.60,https://www.lookfantastic.com/kerastase-densifique-bain-densite-250ml/10951811.html
Shea Moisture Coconut & Hibiscus Curl & Shine Shampoo 379ml,£9.35,https://www.lookfantastic.com/shea-moisture-coconut-hibiscus-curl-shine-shampoo-379ml/11309659.html
Kérastase Genesis Bain Hydra-Fortifiant Shampoo 250ml,£25.43,https://www.lookfantastic.com/kerastase-genesis-bain-hydra-fortifiant-shampoo-250ml/12432688.html
Color Wow Extra Strength Dream Coat Ultra Moisturizing Anti Frizz Treatment Travel Size 50ml,£14.50,https://www.lookfantastic.com/color-wow-extra-strength-dream-coat-ultra-moisturizing-anti-frizz-treatment-travel-size-50ml/14813007.html
